Threads,Run,Time (ms)
20,8,206.96
20,9,203.1286
20,10,205.2164
20,11,204.2375
20,12,212.0479
20,13,202.1105
20,14,216.8365
20,15,206.0366
20,16,203.9401
20,17,205.1117
20,18,204.0265
20,19,205.4167
20,20,222.4487
20,21,203.2392
20,22,206.8877
20,23,202.697
20,24,206.6562
20,25,206.3102
20,26,202.7865
20,27,203.509
20,28,207.4182
20,29,201.0351
20,30,212.552
20,31,200.719
20,32,211.9607
20,33,201.0039
20,34,206.0536
20,35,201.9175
20,36,206.5299
20,37,203.4483
20,38,210.1601
20,39,209.9385
20,40,208.2496
20,41,210.8901
20,42,215.4398
20,43,204.7325
20,44,214.7396
20,45,203.6627
20,46,210.2885
20,47,203.1842
20,48,207.9933
20,49,200.9293
20,50,207.2496
32,0,201.4487
32,1,208.3774
32,2,206.0495
32,3,219.3174
32,4,206.0125
32,5,212.0053
32,6,206.1087
32,7,213.6265
32,8,209.6056
32,9,204.8639
32,10,207.2195
32,11,207.7261
32,12,202.7462
32,13,210.8099
32,14,202.5313
32,15,209.4529
32,16,207.9434
32,17,210.8375
32,18,214.817
32,19,214.6587
32,20,206.8759
32,21,206.7723
32,22,202.6897
32,23,209.2252
32,24,207.5665
32,25,226.2359
32,26,204.8303
32,27,208.3027
32,28,205.7446
32,29,213.8186
32,30,206.7442
32,31,208.6284
32,32,211.7293
32,33,206.9116
32,34,202.8769
32,35,210.3368
32,36,205.4957
32,37,206.6053
32,38,202.9279
32,39,207.1178
32,40,206.2249
32,41,208.155
32,42,203.8645
32,43,209.2127
32,44,206.4704
32,45,207.3213
32,46,204.2808
32,47,206.4407
32,48,208.7795
32,49,206.6268
32,50,202.6554
64,0,208.8439
64,1,202.6388
64,2,212.1236
64,3,209.2296
64,4,210.6047
64,5,203.6244
64,6,211.5835
64,7,209.1528
64,8,217.1701
64,9,207.7668
64,10,216.2164
64,11,202.6249
64,12,207.2632
64,13,203.9049
64,14,211.2318
64,15,207.1254
64,16,210.0793
64,17,206.7756
