Threads,Run,Time (ms)
32,0,223.4013
32,1,224.6828
32,2,223.7127
32,3,231.8731
32,4,226.8502
32,5,227.0448
32,6,220.9381
32,7,220.8752
32,8,219.3048
32,9,225.9887
32,10,224.2201
32,11,233.8659
32,12,221.009
32,13,236.0449
32,14,225.1016
32,15,226.8895
32,16,224.0529
32,17,227.9292
32,18,224.4006
32,19,225.9494
32,20,222.4829
32,21,223.1021
32,22,221.6096
32,23,234.8768
32,24,223.9993
32,25,225.3479
32,26,223.2641
32,27,226.4314
32,28,222.6315
32,29,221.6404
32,30,222.9532
32,31,228.3319
32,32,227.3953
32,33,228.0202
32,34,221.7391
32,35,226.7527
32,36,220.9002
32,37,234.9036
32,38,227.7736
32,39,237.4024
32,40,228.8665
32,41,225.3686
32,42,224.6707
32,43,225.9713
32,44,226.4387
32,45,226.4131
32,46,224.228
32,47,231.5036
32,48,222.7481
32,49,225.0037
32,50,226.9788
64,0,225.9627
64,1,225.0387
64,2,233.457
64,3,223.6012
64,4,235.9823
64,5,225.4282
64,6,233.4593
64,7,227.5298
64,8,229.8546
64,9,221.3779
64,10,225.9324
64,11,224.5624
64,12,228.6587
64,13,228.9832
64,14,234.7008
64,15,222.6308
64,16,225.7818
64,17,221.3364
64,18,225.5861
64,19,219.5714
64,20,230.072
64,21,227.3908
64,22,224.364
64,23,222.3898
64,24,224.6226
64,25,221.6297
64,26,226.237
64,27,223.1596
64,28,226.6861
64,29,223.1007
64,30,235.3816
64,31,225.4773
64,32,229.8953
64,33,220.8514
64,34,231.4417
64,35,222.7111
64,36,226.4044
64,37,239.4672
64,38,226.4402
64,39,228.1159
64,40,238.1133
64,41,222.7052
64,42,230.3505
64,43,222.7799
64,44,227.6226
64,45,224.0701
64,46,229.6869
64,47,217.0381
64,48,230.2656
64,49,224.9252
64,50,232.8922
